point_index,timestamp_utc,status,setpoints_json,measurements_json,trace_name,trace_points,trace_peak_dbm
60,2026-09-03T07:58:53.215898+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 18221212.1212, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.876085
61,2026-09-03T07:58:53.379336+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 18523232.3232, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.879157
62,2026-09-03T07:58:53.487255+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 18825252.5253, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.878879
63,2026-09-03T07:58:53.662350+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 19127272.7273, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.889978
64,2026-09-03T07:58:53.786314+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 19429292.9293, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.913026
65,2026-09-03T07:58:54.011807+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 19731313.1313, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.896043
66,2026-09-03T07:58:54.120444+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 20033333.3333, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.922412
67,2026-09-03T07:58:54.285590+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 20335353.5354, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.92728699999999
68,2026-09-03T07:58:54.473631+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 20637373.7374, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-43.100537
69,2026-09-03T07:58:54.642254+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 20939393.9394, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.942691
70,2026-09-03T07:58:54.795550+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 21241414.1414, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.969567
71,2026-09-03T07:58:54.976995+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 21543434.3434, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.953571999999994
72,2026-09-03T07:58:55.097489+00:00,ok,"{""keithley.B.current"": 0.0, ""rigol.1.frequency"": 21845454.5455, ""rigol.1.high_level"": 0.001, ""rigol.1.low_level"": -0.001}",{},TRAC1,10001,-42.999627000000004
